rank,name,state,score,admission_rate,sat_average,completion_rate,earnings_10_year_median,known_fields,unknown_fields
1,Massachusetts Institute of Technology,MA,0.99797288,0.0455,1560,0.9624,143372,6,13
2,Princeton University,NJ,0.99454139,0.0462,1553,0.9735,110066,6,13
3,California Institute of Technology,CA,0.99435258,0.0257,,0.9376,128566,3,16
4,Curtis Institute of Music,PA,0.99420514,0.0458,,0.9556,,2,17
5,University of Pennsylvania,PA,0.99390069,0.054,1553,0.9668,111371,6,13
6,Harvard University,MA,0.99379842,0.0365,1553,0.9745,101817,6,13
7,Columbia University in the City of New York,NY,0.99239702,0.0399,1553,0.9554,102491,6,13
8,Stanford University,CA,0.99162409,0.0361,1553,0.9237,124080,6,13
9,Yale University,CT,0.98971964,0.0387,1534,0.9603,100533,6,13
10,Duke University,NC,0.98900595,0.0571,1548,0.963,97800,6,13
11,Brown University,RI,0.98700614,0.0539,1546,0.957,93487,6,13
12,Dartmouth College,NH,0.98696179,0.054,1534,0.9575,97434,6,13
13,Cornell University,NY,0.98646600,0.0876,1535,0.9526,104043,6,13
14,University of Chicago,IL,0.98621517,0.0448,1554,0.9539,91885,6,13
15,Carnegie Mellon University,PA,0.98360025,0.1166,1546,0.933,114862,6,13
16,Harvey Mudd College,CA,0.98270444,0.1266,1545,0.9279,138687,6,13
17,Claremont McKenna College,CA,0.98141446,0.0959,1527,0.9334,104736,6,13
18,Minerva University,CA,0.98064421,0.0304,,0.8883,,2,17
19,University of Notre Dame,IN,0.97987709,0.1127,1520,0.96,99980,6,13
20,Rice University,TX,0.97980286,0.08,1553,0.9519,89718,6,13
21,Vanderbilt University,TN,0.97973981,0.0586,1549,0.9311,91565,6,13
22,Johns Hopkins University,MD,0.97884711,0.0644,1553,0.9421,87555,6,13
23,Northwestern University,IL,0.97659144,0.0769,1533,0.9551,89363,6,13
24,Williams College,MA,0.97488400,0.0825,1533,0.9509,88665,6,13
25,University of California-Berkeley,CA,0.97380798,0.1098,,0.9286,92446,3,16
26,Northeastern University,MA,0.97230833,0.0522,1497,0.9046,92538,6,13
27,Georgetown University,DC,0.97211160,0.1291,1487,0.9455,103494,6,13
28,Franklin W Olin College of Engineering,MA,0.97173073,0.252,1520,0.9422,129455,5,14
29,Washington and Lee University,VA,0.97029439,0.1397,1498,0.9439,94810,6,13
30,Bowdoin College,ME,0.96938571,0.0713,1520,0.9544,82735,6,13
31,Washington University in St Louis,MO,0.96865330,0.1206,1530,0.9435,86182,6,13
32,Boston College,MA,0.96860344,0.1643,1507,0.9091,103937,6,13
33,University of Southern California,CA,0.96835074,0.0981,1495,0.9191,92498,6,13
34,Georgia Institute of Technology-Main Campus,GA,0.96766264,0.1407,1480,0.9319,102772,6,13
35,Swarthmore College,PA,0.96616203,0.0746,1534,0.9317,80257,6,13
36,Babson College,MA,0.96424540,0.1709,1457,0.9274,123938,6,13
37,Pomona College,CA,0.96337650,0.0709,1534,0.932,77779,6,13
38,Tufts University,MA,0.96292638,0.1149,1513,0.9342,83214,6,13
39,Barnard College,NY,0.96264647,0.0884,1520,0.9298,80516,6,13
40,Amherst College,MA,0.96081712,0.0901,1533,0.9367,77644,6,13
41,Wellesley College,MA,0.96058560,0.1405,1520,0.9137,84803,6,13
42,University of California-Los Angeles,CA,0.96045901,0.0897,,0.9264,82511,3,16
43,Colgate University,NY,0.95906736,0.1388,1508,0.9086,85139,6,13
44,Emory University,GA,0.95864092,0.1065,1520,0.9142,80137,6,13
